von;datum_von;cluster_von;titel_von;nach;datum_nach;cluster_nach;titel_nach;konfidenz;label;cross_cluster;review_status;kommentar
eckpunkte-fuer-die-finanzierung-eines-zukunftsfaehigen-verkehrssystems;01.11.2025;haushalt;Eckpunkte für die Finanzierung eines zukunftsfähigen Verkehrssystems;entgleist;22.05.2025;haushalt;Entgleist: Wie eine intransparente und komplexe Finanzierungsstruktur die Kosten der Schiene in die Höhe treibt;hoch;eckpunkte-fuer-die-finanzierung-eines-zukunftsfaehigen-verkehrssystems;nein;;
5-milliarden-spielraum-im-sozialstaat-gewinnen;28.01.2026;haushalt;5 Milliarden Spielraum im Sozialstaat gewinnen;finanzpolitische-vorschlaege-fuer-die-21-legislaturperiode;28.02.2025;haushalt;Finanzpolitische Vorschläge für die 21. Legislaturperiode;hoch;5-milliarden-spielraum-im-sozialstaat-gewinnen;nein;;
sozialstaatsreform-sparen-ohne-kuerzen;29.01.2026;haushalt;Sozialstaatsreform: Sparen ohne Kürzen?;5-milliarden-spielraum-im-sozialstaat-gewinnen;28.01.2026;haushalt;5 Milliarden Spielraum im Sozialstaat gewinnen;hoch;sozialstaatsreform-sparen-ohne-kuerzen;nein;;
wie-viel-bang-for-the-buck-steckt-in-subventionen;05.02.2026;haushalt;Wie viel Bang for the Buck steckt in Subventionen?;implikationen-langfristiger-energiekostenunterschiede-fuer-energieintensive-industrien-und-den-wirtsc;01.08.2023;wirtschaftspolitik;Implikationen langfristiger Energiekostenunterschiede für energieintensive Industrien und den Wirtschaftsstandort Deutschland;hoch;wie-viel-bang-for-the-buck-steckt-in-subventionen;ja;;
stromsubvention-als-konjunkturpolitik;23.06.2025;wirtschaftspolitik;Stromsubvention als Konjunkturpolitik: Ökonomische Erwägungen zum geplanten Strompreispaket;finanzpolitische-vorschlaege-fuer-die-21-legislaturperiode;28.02.2025;haushalt;Finanzpolitische Vorschläge für die 21. Legislaturperiode;;;ja;;
der-sanierungskostendeckel;20.02.2026;haushalt;Der Sanierungskostendeckel;was-kostet-eine-sichere-lebenswerte-und-nachhaltige-zukunft;30.09.2024;haushalt;Was kostet eine sichere, lebenswerte und nachhaltige Zukunft? Öffentliche Finanzbedarfe für die Modernisierung Deutschlands;hoch;ausgaben-fuer-die-dekarbonisierung;nein;;
das-bildungsfinanzgeflecht;26.02.2026;haushalt;Das Bildungsfinanzgeflecht;was-kostet-eine-sichere-lebenswerte-und-nachhaltige-zukunft;30.09.2024;haushalt;Was kostet eine sichere, lebenswerte und nachhaltige Zukunft? Öffentliche Finanzbedarfe für die Modernisierung Deutschlands;;;nein;;
bildungsfinanzchaos-wer-bestellt-bezahlt-meist-nicht;26.02.2026;haushalt;Bildungsfinanzchaos: Wer bestellt, bezahlt meist nicht;das-bildungsfinanzgeflecht;26.02.2026;haushalt;Das Bildungsfinanzgeflecht;hoch;das-bildungsfinanzgeflecht;nein;;
bundeshaushaltsmonitor-2026;31.03.2026;haushalt;Bundeshaushaltsmonitor 2026;bedarf-von-700-milliarden-euro-verteidigung-bis-2040;26.03.2025;haushalt;Bedarf von 700 Milliarden Euro - Was uns Verteidigung bis 2040 kostet;hoch;bundeshaushaltsmonitor-2026;nein;;
bundeshaushaltsmonitor-2026;31.03.2026;haushalt;Bundeshaushaltsmonitor 2026;der-sanierungskostendeckel;20.02.2026;haushalt;Der Sanierungskostendeckel;hoch;der-sanierungskostendeckel;nein;;
bundeshaushaltsmonitor-2026;31.03.2026;haushalt;Bundeshaushaltsmonitor 2026;effekte-staatlicher-beteiligungen-auf-den-stromnetzausbau;01.12.2024;infra;Effekte staatlicher Beteiligungen auf den Stromübertragungsnetzausbau;hoch;effekte-staatlicher-beteiligungen-auf-den-stromnetzausbau;ja;;
bundeshaushaltsmonitor-2026;31.03.2026;haushalt;Bundeshaushaltsmonitor 2026;eine-oekonomisch-sinnvolle-schuldenregel;25.02.2025;fiskalpolitik;Eine ökonomisch sinnvolle Schuldenregel;hoch;eine-oekonomisch-sinnvolle-schuldenregel;ja;;
bundeshaushaltsmonitor-2026;31.03.2026;haushalt;Bundeshaushaltsmonitor 2026;reform-der-einkommensteuer;21.01.2025;makro;Reform der Einkommensteuer - Vorschlaege aus den Wahlprogrammen, ihre Kosten und Wachstumseffekte;hoch;reform-der-einkommensteuer;ja;;
bundeshaushaltsmonitor-2026;31.03.2026;haushalt;Bundeshaushaltsmonitor 2026;sozialstaatsreform-sparen-ohne-kuerzen;29.01.2026;haushalt;Sozialstaatsreform: Sparen ohne Kürzen?;hoch;sozialstaatsreform-sparen-ohne-kuerzen;nein;;
effekte-staatlicher-beteiligungen-auf-den-stromnetzausbau;01.12.2024;infra;Effekte staatlicher Beteiligungen auf den Stromübertragungsnetzausbau;was-kostet-eine-sichere-lebenswerte-und-nachhaltige-zukunft;30.09.2024;haushalt;Was kostet eine sichere, lebenswerte und nachhaltige Zukunft? Öffentliche Finanzbedarfe für die Modernisierung Deutschlands;;;ja;;
eine-kurze-fiskalgeschichte-der-deutschen-wohnungspolitik;31.03.2026;haushalt;Eine kurze Fiskalgeschichte der deutschen Wohnungspolitik;was-kostet-eine-sichere-lebenswerte-und-nachhaltige-zukunft;30.09.2024;haushalt;Was kostet eine sichere, lebenswerte und nachhaltige Zukunft? Öffentliche Finanzbedarfe für die Modernisierung Deutschlands;;;nein;;
wohnungspolitik-in-einer-teuren-sackgasse;31.03.2026;haushalt;Wohnungspolitik in einer teuren Sackgasse;eine-kurze-fiskalgeschichte-der-deutschen-wohnungspolitik;31.03.2026;haushalt;Eine kurze Fiskalgeschichte der deutschen Wohnungspolitik;hoch;eine-kurze-fiskalgeschichte-der-deutschen-wohnungspolitik;nein;;
reformen-brauchen-kitas;16.04.2026;haushalt;Reformen brauchen Kitas;wer-reformen-will-muss-kitas-bauen;16.04.2026;haushalt;Wer Reformen will, muss Kitas bauen;hoch;bundeshaushaltsmonitor-2026;nein;;
wer-reformen-will-muss-kitas-bauen;16.04.2026;haushalt;Wer Reformen will, muss Kitas bauen;das-bildungsfinanzgeflecht;26.02.2026;haushalt;Das Bildungsfinanzgeflecht;hoch;wer-reformen-will-muss-kitas-bauen;nein;;
investitionen-in-eine-zukunftsfaehige-daseinsvorsorge;01.01.2025;infra;Investitionen in eine zukunftsfähige Daseinsvorsorge: Von kleinen Stadtwerken bis zum Konzern;stromnetzausbau-kapital-mobilisieren-netzentgelte-reduzieren;03.06.2025;infra;Stromnetzausbau: Kapital mobilisieren, Netzentgelte reduzieren;hoch;ein-kommunales-investitionsprogramm-fuer-das-naechste-jahrzehnt;nein;;
stromnetzausbau-kapital-mobilisieren-netzentgelte-reduzieren;03.06.2025;infra;Stromnetzausbau: Kapital mobilisieren, Netzentgelte reduzieren;effekte-staatlicher-beteiligungen-auf-den-stromnetzausbau;01.12.2024;infra;Effekte staatlicher Beteiligungen auf den Stromübertragungsnetzausbau;hoch;stromnetzausbau-kapital-mobilisieren-netzentgelte-reduzieren;nein;;
was-taugt-der-deutschlandfonds;22.01.2026;infra;Was taugt der Deutschlandfonds?;investitionen-in-eine-zukunftsfaehige-daseinsvorsorge;01.01.2025;infra;Investitionen in eine zukunftsfähige Daseinsvorsorge: Von kleinen Stadtwerken bis zum Konzern;hoch;was-taugt-der-deutschlandfonds;nein;;
